instructor_display_name,location,course_family,course_title,first_date,last_date,offer_count,blocking_reason,suggested_action
Brian Ennis,"4045 College Rd\, Wilmington\, NC 28412\, USA",BLS,AHA BLS Provider,2026-06-22,2026-06-22,2,location_mismatch,map_to_existing_container
Brian Ennis,"4045 College Rd\, Wilmington\, NC 28412\, USA",BLS,AHA BLS Provider Renewal,2026-06-22,2026-06-22,2,location_mismatch,map_to_existing_container
Brian Ennis,"4045 College Rd\, Wilmington\, NC 28412\, USA",BLS,AHA HeartCode BLS,2026-06-22,2026-06-22,4,location_mismatch,map_to_existing_container
Brian Ennis,"4045 College Rd\, Wilmington\, NC 28412\, USA",BLS,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),2026-06-22,2026-06-22,1,location_mismatch,map_to_existing_container
Brian Ennis,"4045 College Rd\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver CPR AED,2026-06-22,2026-06-22,3,location_mismatch,map_to_existing_container
Brian Ennis,"4045 College Rd\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver CPR AED Online,2026-06-22,2026-06-22,4,location_mismatch,map_to_existing_container
Brian Ennis,"4045 College Rd\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver First Aid CPR AED - Blended,2026-06-22,2026-06-22,4,location_mismatch,map_to_existing_container
Brian Ennis,"4045 College Rd\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver Pediatric First Aid CPR AED Online,2026-06-22,2026-06-22,4,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",BLS,AHA BLS Provider,2026-07-04,2026-07-04,3,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",BLS,AHA BLS Provider Renewal,2026-07-04,2026-07-04,2,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",BLS,AHA HeartCode BLS,2026-07-04,2026-07-04,3,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",BLS,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),2026-07-04,2026-07-04,2,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver CPR AED,2026-07-04,2026-07-04,2,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver CPR AED Online,2026-07-04,2026-07-04,3,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver First Aid CPR AED,2026-07-04,2026-07-04,3,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver First Aid CPR AED - Blended,2026-07-04,2026-07-04,2,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver Pediatric First Aid / CPR / AED,2026-07-04,2026-07-04,2,location_mismatch,map_to_existing_container
Brian Ennis,"420 Windchime Dr\, Wilmington\, NC 28412\, USA",Heartsaver,AHA Heartsaver Pediatric First Aid CPR AED Online,2026-07-04,2026-07-04,2,location_mismatch,map_to_existing_container
Brian Ennis,"Wilmington International Airport\, 1740 Airport Blvd\, Wilmington\, NC 28405\, USA",BLS,AHA BLS Provider,2026-06-23,2026-06-23,1,location_mismatch,map_to_existing_container
