offer_id,date,start_time,course_id,course_title,is_aha_bls,public_sellable,first_rejection_stage,rejection_bucket,rejection_reasons
offer-209806-instructor_24057895173-20260801-0915,2026-08-01,09:15,209806,AHA BLS Provider,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-359474-instructor_24057895173-20260801-0915,2026-08-01,09:15,359474,AHA BLS Provider Renewal,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-210549-instructor_24057895173-20260801-0915,2026-08-01,09:15,210549,AHA HeartCode BLS,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-440431-instructor_24057895173-20260801-0915,2026-08-01,09:15,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260801-0915,2026-08-01,09:15,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260801-0915,2026-08-01,09:15,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-209806-instructor_24057895173-20260802-0915,2026-08-02,09:15,209806,AHA BLS Provider,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-359474-instructor_24057895173-20260802-0915,2026-08-02,09:15,359474,AHA BLS Provider Renewal,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-210549-instructor_24057895173-20260802-0915,2026-08-02,09:15,210549,AHA HeartCode BLS,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-440431-instructor_24057895173-20260802-0915,2026-08-02,09:15,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260802-0915,2026-08-02,09:15,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260802-0915,2026-08-02,09:15,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-209806-instructor_24057895173-20260803-0915,2026-08-03,09:15,209806,AHA BLS Provider,True,True,public_sellable,kept,
offer-359474-instructor_24057895173-20260803-0915,2026-08-03,09:15,359474,AHA BLS Provider Renewal,True,True,public_sellable,kept,
offer-210549-instructor_24057895173-20260803-0915,2026-08-03,09:15,210549,AHA HeartCode BLS,True,True,public_sellable,kept,
offer-440431-instructor_24057895173-20260803-0915,2026-08-03,09:15,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260803-0915,2026-08-03,09:15,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260803-0915,2026-08-03,09:15,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,day_cap,max_total_offers_per_day_exceeded
offer-209806-instructor_24057895173-20260804-0915,2026-08-04,09:15,209806,AHA BLS Provider,True,True,public_sellable,kept,
offer-359474-instructor_24057895173-20260804-0915,2026-08-04,09:15,359474,AHA BLS Provider Renewal,True,True,public_sellable,kept,
offer-210549-instructor_24057895173-20260804-0915,2026-08-04,09:15,210549,AHA HeartCode BLS,True,True,public_sellable,kept,
offer-440431-instructor_24057895173-20260804-0915,2026-08-04,09:15,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260804-0915,2026-08-04,09:15,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260804-0915,2026-08-04,09:15,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-209806-instructor_24057895173-20260805-0915,2026-08-05,09:15,209806,AHA BLS Provider,True,True,public_sellable,kept,
offer-359474-instructor_24057895173-20260805-0915,2026-08-05,09:15,359474,AHA BLS Provider Renewal,True,True,public_sellable,kept,
offer-210549-instructor_24057895173-20260805-0915,2026-08-05,09:15,210549,AHA HeartCode BLS,True,True,public_sellable,kept,
offer-440431-instructor_24057895173-20260805-0915,2026-08-05,09:15,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260805-0915,2026-08-05,09:15,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260805-0915,2026-08-05,09:15,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-209806-instructor_24057895173-20260806-0915,2026-08-06,09:15,209806,AHA BLS Provider,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-359474-instructor_24057895173-20260806-0915,2026-08-06,09:15,359474,AHA BLS Provider Renewal,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-210549-instructor_24057895173-20260806-0915,2026-08-06,09:15,210549,AHA HeartCode BLS,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-440431-instructor_24057895173-20260806-0915,2026-08-06,09:15,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260806-0915,2026-08-06,09:15,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
offer-445670-instructor_24057895173-20260806-0915,2026-08-06,09:15,445670,HSI BLS and Adult First Aid | Blended Learning,False,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-209806-instructor_24057895173-20260807-0915,2026-08-07,09:15,209806,AHA BLS Provider,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-359474-instructor_24057895173-20260807-0915,2026-08-07,09:15,359474,AHA BLS Provider Renewal,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-210549-instructor_24057895173-20260807-0915,2026-08-07,09:15,210549,AHA HeartCode BLS,True,False,public_sellable_cap_limit,weekly_cap,max_offers_per_course_per_week_exceeded
offer-440431-instructor_24057895173-20260807-0915,2026-08-07,09:15,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),False,False,public_sellable_course_policy,course_or_family_disabled,course_id_not_enabled
offer-463743-instructor_24057895173-20260807-0915,2026-08-07,09:15,463743,HSI BLS Challenge,False,False,public_sellable_course_policy,course_or_family_disabled,course_family_disabled;course_id_not_enabled;course_family_not_enabled
