period,date,start_time,course_id,variant,course_title
before,2026-08-03,09:15,209806,Initial,
before,2026-08-04,09:15,209806,Initial,
before,2026-08-05,09:15,209806,Initial,
before,2026-08-10,09:15,209806,Initial,
before,2026-08-11,09:15,209806,Initial,
before,2026-08-12,09:15,209806,Initial,
after,2026-08-03,09:15,359474,Renewal,AHA BLS Provider Renewal
after,2026-08-04,09:15,209806,Initial,AHA BLS Provider
after,2026-08-05,09:15,359474,Renewal,AHA BLS Provider Renewal
after,2026-08-10,09:15,209806,Initial,AHA BLS Provider
after,2026-08-11,09:15,359474,Renewal,AHA BLS Provider Renewal
after,2026-08-12,09:15,209806,Initial,AHA BLS Provider
