period,date,start_time,course_id,course_title
before,2026-08-03,08:30,209806,AHA BLS Provider
before,2026-08-04,08:00,359474,AHA BLS Provider Renewal
before,2026-08-10,08:30,209806,AHA BLS Provider
before,2026-08-11,08:00,359474,AHA BLS Provider Renewal
after,2026-08-03,09:15,359474,AHA BLS Provider Renewal
after,2026-08-04,09:15,209806,AHA BLS Provider
after,2026-08-05,09:15,359474,AHA BLS Provider Renewal
after,2026-08-10,09:15,209806,AHA BLS Provider
after,2026-08-11,09:15,359474,AHA BLS Provider Renewal
after,2026-08-12,09:15,209806,AHA BLS Provider
