course_key,course_id,name,slug_page,hub_tab,dynamic_offer_allowed,appointment_seed_allowed,review_needed_for_scheduling,review_needed_for_rendering,missing_required_fields,used_by_public_sellable_dynamic_offer,public_sellable_offer_ids,contradiction
aha_acls_heartcode,209811,AHA ACLS HeartCode,docs/acls.html,acls-heartcode; group-acls,false,false,true,false,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
aha_acls_provider_initial,241108,AHA ACLS Provider (Initial),docs/acls.html,acls-provider; group-acls,false,false,true,false,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
aha_acls_provider_renewal,209818,AHA ACLS Provider (Renewal),docs/acls.html,acls-renewal; group-acls,false,false,true,false,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
aha_bls_provider,209806,BLS Provider (NHCSO),docs/bls.html,bls-provider; group-bls,false,false,true,false,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes,false,,false
aha_bls_provider_renewal,359474,AHA BLS Provider Renewal,docs/bls.html,bls-renewal; group-bls,false,false,true,false,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
aha_heartcode_bls,210549,AHA HeartCode BLS,docs/bls.html,bls-heartcode; group-bls,false,false,true,false,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
aha_bls_provider_blended_group_skills,440431,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),unknown,,false,false,true,true,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
hsi_adult_first_aid_cpr_aed,374378,HSI Adult First Aid | CPR AED,unknown,,false,false,true,true,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
hsi_adult_first_aid_cpr_aed_alt,422270,HSI Adult First Aid | CPR AED,unknown,,false,false,true,true,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
hsi_adult_first_aid_cpr_aed_blended,371954,HSI Adult First Aid | CPR AED - Blended Learning,unknown,,false,false,true,true,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
hsi_bls_adult_first_aid_blended,445670,HSI BLS and Adult First Aid | Blended Learning,docs/hsi.html,hsi-bls-fa,true,true,false,false,base_price; card_type,true,offer-445670-instructor_24057895173-20260704-1430; offer-445670-instructor_24057895173-20260704-1445; offer-445670-instructor_24057895173-20260704-1500,false
hsi_bls_challenge,463743,HSI BLS Challenge,unknown,,false,false,true,true,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
hsi_basic_life_support,448630,HSI Basic Life Support,unknown,,false,false,true,true,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
hsi_pediatric_first_aid_cpr_aed_blended,449422,HSI Pediatric First Aid | CPR AED - Blended,unknown,,false,false,true,true,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
aha_heartsaver_cpr_aed,344085,AHA - Heartsaver® CPR AED - In-person,docs/heartsaver.html,hs-cpr-aed-bl; hs-cpr-aed-ip,false,false,true,false,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes,true,offer-344085-instructor_24057895173-20260704-1430; offer-344085-instructor_24057895173-20260704-1445,true
aha_heartsaver_cpr_aed_online,209808,AHA Heartsaver CPR AED Online,docs/heartsaver.html,hs-cpr-aed-bl,false,false,true,false,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,true,offer-209808-instructor_24057895173-20260704-1430; offer-209808-instructor_24057895173-20260704-1445; offer-209808-instructor_24057895173-20260704-1500,true
aha_heartsaver_first_aid_cpr_aed,209809,AHA Heartsaver First Aid CPR AED,docs/heartsaver.html,group-heartsaver; hs-fa-cpr-aed-ip,false,false,true,false,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,false,,false
