course_key,enrollware_course_id,enrollware_name,public_short_title,public_long_title,course_family,course_family_type,provider,discipline,format,status,classroom_duration_minutes,skills_duration_minutes,scheduler_display_duration_minutes,setup_buffer_minutes,cleanup_buffer_minutes,scheduler_consumption_minutes,minimum_lead_time_hours,maximum_lookahead_days,dynamic_offer_allowed,appointment_seed_allowed,review_needed_for_scheduling,public_visibility,slug_page,hub_tab,cta_text,review_needed_for_rendering,base_price,shipping_price,add_ons,card_type,secondary_card_type,ecard_code,keycode_bank,review_needed_for_pricing_or_cards,allowed_instructor_ids,allowed_location_ids,max_students_default,min_students_default,required_equipment,room_requirements,data_quality_status,missing_required_fields,source_files,used_by_public_sellable_dynamic_offer,public_sellable_offer_ids,brian_review_notes
aha_acls_heartcode,209811,AHA ACLS HeartCode,AHA ACLS HeartCode,AHA ACLS HeartCode,ACLS,HeartCode,AHA,unknown,BL,active,90,90,90,,,,24,180,false,false,true,active_public,docs/acls.html,acls-heartcode; group-acls,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_ACLS_INSTRUCTOR,,1,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_acls_provider_initial,241108,AHA ACLS Provider (Initial),AHA ACLS Provider (Initial),AHA ACLS Provider (Initial),ACLS,Provider Initial,AHA,unknown,IP,active,240,,240,,,,24,180,false,false,true,active_public,docs/acls.html,acls-provider; group-acls,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_ACLS_INSTRUCTOR,,6,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
aha_acls_provider_renewal,209818,AHA ACLS Provider (Renewal),AHA ACLS Provider (Renewal),AHA ACLS Provider (Renewal),ACLS,Renewal,AHA,unknown,IP,active,240,,240,,,,24,180,false,false,true,active_public,docs/acls.html,acls-renewal; group-acls,Check this date/time,false,,,,unknown,not_applicable,unknown,unknown,true,AHA_ACLS_INSTRUCTOR,,6,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
arc_adult_cpr_aed_online,372258,American Red Cross Adult CPR/AED Online,American Red Cross Adult CPR/AED,American Red Cross Adult CPR/AED Online,ARC,CPR + AED,ARC,unknown,BL,active,45,45,45,0,0,45,24,180,true,true,false,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,ARC_BLS_INSTRUCTOR,,5,1,UNKNOWN,,needs_review,slug_page; hub_tab; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json,false,,
arc_adult_pediatric_first_aid_cpr_aed,369209,American Red Cross Adult and Pediatric First Aid/CPR/AED,American Red Cross Adult and Pediatric First Aid/CPR/AED,American Red Cross Adult and Pediatric First Aid/CPR/AED,ARC,First Aid + CPR + AED,ARC,unknown,IP,active,150,,150,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,ARC_BLS_INSTRUCTOR,,12,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json,false,,
arc_adult_pediatric_first_aid_cpr_aed_blended,410694,American Red Cross Adult and Pediatric First Aid/CPR/AED Blended Learning,American Red Cross Adult and Pediatric First Aid/CPR/AED Blended Learning,American Red Cross Adult and Pediatric First Aid/CPR/AED Blended Learning,ARC,First Aid + CPR + AED,ARC,unknown,BL,active,45,45,45,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,ARC_BLS_INSTRUCTOR,,2,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json,false,,
arc_bls_challenge,444919,American Red Cross BLS Challenge,American Red Cross BLS Challenge,American Red Cross BLS Challenge,ARC,BLS Challenge,ARC,unknown,IP,active,45,,45,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,ARC_BLS_INSTRUCTOR,,2,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json,false,,
arc_bls,248288,American Red Cross Basic Life Support,American Red Cross Basic Life Support,American Red Cross Basic Life Support,ARC,BLS,ARC,unknown,IP,active,150,,150,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,ARC_BLS_INSTRUCTOR,,6,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json,false,,
arc_bls_blended,248287,American Red Cross Basic Life Support - Blended Learning,American Red Cross Basic Life Support - Blended Learning,American Red Cross Basic Life Support - Blended Learning,ARC,BLS,ARC,unknown,BL,active,45,45,45,,,,24,180,false,false,true,active_public,unknown,,Check this date/time,true,,,,unknown,not_applicable,unknown,unknown,true,ARC_BLS_INSTRUCTOR,,6,1,UNKNOWN,,needs_review,slug_page; hub_tab; setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes; base_price; card_type,data/config/course_catalog.json; data/config/course_map.json; data/inventory/course_consumption_rules.json,false,,
aha_bls_provider,209806,BLS Provider (NHCSO),AHA BLS Provider,AHA BLS Provider,BLS,Provider,AHA,BLS,IP,active,120,,120,,,,24,180,false,false,true,active_public,docs/bls.html,bls-provider; group-bls,Check this date/time,false,0.0,0.0,AHA-ECARD-BLS,AHA BLS Provider,not_applicable,25-3001,unknown,true,AHA_BLS_INSTRUCTOR,,6,1,UNKNOWN,,needs_review,setup_buffer_minutes; cleanup_buffer_minutes; scheduler_consumption_minutes,data/config/course_catalog.json; data/config/course_map.json; data/raw/course-export.xlsx; data/inventory/course_consumption_rules.json; data/config/slug_hubs.json,false,,
