metric,before,after
august_url_previews,,4
dynamic_august_bls_offers,0,6666
dynamic_august_offers,20901,20901
dynamic_offers,,42909
live_august_blocks,29,29
live_august_bls_blocks,,13
live_blocks,,116
live_snapshot_end,2026-08-28,2026-08-28
live_snapshot_start,2026-06-29,2026-06-29
public_sellable_august_bls_offers,,24
public_sellable_august_offers,,60
public_sellable_offers,,210
runtime_events,,49
runtime_expanded_instances,,40
runtime_snapshot_end,2026-08-28,2026-08-28
runtime_snapshot_start,2026-06-29,2026-06-29
selected_august_bls_seeds,,4
selected_august_seeds,0,4
selected_seeds,,16
url_previews,,16
