date,start_time,end_time,course_title,course_family,instructor_display_name,location,capacity,confidence,offer_id,brian_review,notes
2026-06-22,08:30,10:30,AHA BLS Provider,BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,6,high,offer-209806-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,08:30,10:30,AHA BLS Provider Renewal,BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,6,high,offer-359474-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,08:30,09:30,AHA HeartCode BLS,BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,1,high,offer-210549-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,08:30,11:00,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,18,high,offer-440431-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,09:00,11:00,AHA BLS Provider,BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,6,high,offer-209806-instructor_24057895173-20260622-0900,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,09:00,11:00,AHA BLS Provider Renewal,BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,6,high,offer-359474-instructor_24057895173-20260622-0900,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,09:00,10:00,AHA HeartCode BLS,BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,1,high,offer-210549-instructor_24057895173-20260622-0900,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,09:00,11:30,BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,18,high,offer-440431-instructor_24057895173-20260622-0900,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,09:30,11:30,AHA BLS Provider,BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,6,high,offer-209806-instructor_24057895173-20260622-0930,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,09:30,10:30,AHA HeartCode BLS,BLS,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,1,high,offer-210549-instructor_24057895173-20260622-0930,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,08:30,10:00,AHA Heartsaver CPR AED,Heartsaver,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,10,high,offer-344085-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,08:30,09:15,AHA Heartsaver CPR AED Online,Heartsaver,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,2,high,offer-209808-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,08:30,11:30,AHA Heartsaver First Aid CPR AED,Heartsaver,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,12,high,offer-209809-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,08:30,09:15,AHA Heartsaver First Aid CPR AED - Blended,Heartsaver,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,2,high,offer-329495-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,08:30,11:30,AHA Heartsaver Pediatric First Aid / CPR / AED,Heartsaver,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,12,high,offer-351632-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,08:30,09:15,AHA Heartsaver Pediatric First Aid CPR AED Online,Heartsaver,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,2,high,offer-251545-instructor_24057895173-20260622-0830,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,09:00,10:30,AHA Heartsaver CPR AED,Heartsaver,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,10,high,offer-344085-instructor_24057895173-20260622-0900,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,09:00,09:45,AHA Heartsaver CPR AED Online,Heartsaver,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,2,high,offer-209808-instructor_24057895173-20260622-0900,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
2026-06-22,09:00,12:00,AHA Heartsaver First Aid CPR AED,Heartsaver,Brian Ennis,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,12,high,offer-209809-instructor_24057895173-20260622-0900,NEEDS_REVIEW,"Review action: approve, hide, adjust time, or adjust policy."
