stage,source_file,date,start_time,end_time,instructor,person_id,location,course_key_or_family,source_id,status,source_note
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:00,19:00,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,BLS,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:00,19:00,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,BLS,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:00,18:00,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,BLS,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:00,19:30,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,BLS,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:00,17:45,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,HSI,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:00,17:45,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,HSI,0anh74c8rov075p9j08875rjjn@google.com,present,
live_availability_snapshot_block,data/audit/live_availability_snapshot_preview.json,2026-06-21,17:00,21:00,Brian Ennis,instructor_24057895173,"420 Windchime Dr\, Wilmington\, NC 28412\, USA","['BLS', 'HSI', 'Heartsaver', 'USCG']",0anh74c8rov075p9j08875rjjn@google.com,available,active_generation_source
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:15,19:15,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,BLS,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:15,19:15,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,BLS,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:15,18:15,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,BLS,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:15,19:45,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,BLS,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:15,18:00,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,HSI,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:15,18:00,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,HSI,0anh74c8rov075p9j08875rjjn@google.com,present,
dynamic_offer,data/audit/dynamic_offers_preview.json,2026-06-21,17:30,19:30,,,NC - Wilmington: 4018 Shipyard Blvd @ 910CPR's Office,BLS,0anh74c8rov075p9j08875rjjn@google.com,present,
