"course_type_id","before_name","proposed_name","after_name","status","note","screenshot","edit_url"
"210549","AHA BLS Provider HeartCode SkillsBlended learning with online course + in-person skills session","AHA HeartCode BLS","AHA HeartCode BLS","changed","retry succeeded via visible Course Name input and native Update Course Type button; verified by readback","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\210549.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=210549"
"248288","ARC - BLS - In-Person ClassroomInstructor-led classroom for initial or renewal certification","American Red Cross Basic Life Support","American Red Cross Basic Life Support","changed","retry succeeded via visible Course Name input and native Update Course Type button; verified by readback","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\248288.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248288"
"248287","ARC - BLS - Blended Learning (Online + Skills)Complete online course, then attend in-person skills session","American Red Cross Basic Life Support","American Red Cross Basic Life Support","changed","retry succeeded via visible Course Name input and native Update Course Type button; verified by readback","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\248287.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248287"
"209811","AHA ACLS Provider - HeartCode (Online + Skills Session)Complete online coursework, then schedule in-person skills testing","AHA HeartCode ACLS","AHA HeartCode ACLS","changed","retry succeeded via visible Course Name input and native Update Course Type button; verified by readback","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\209811.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209811"
"209812","American Heart Association Pediatric Advanced Life Support (PALS) Provider - HeartCode® (Online + Skills Session)Complete online training, then attend an in-person skills session","AHA HeartCode PALS","AHA HeartCode PALS","changed","retry succeeded via visible Course Name input and native Update Course Type button; verified by readback","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\209812.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209812"
"351632","AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply","AHA Heartsaver Pediatric First Aid CPR AED","","failed","retry saved/reopened but proposed name not found in readback text","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\351632.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=351632"
"422270","HSI Adult First Aid CPR AED - In-personTraditional classroom training for workplace and general certification","HSI Adult First Aid | CPR AED","HSI Adult First Aid | CPR AED","changed","retry succeeded via visible Course Name input and native Update Course Type button; verified by readback","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\422270.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=422270"
"369209","ARC Adult | Pediatric First Aid CPR AED - In-personFull certification for adults, children, and infants","American Red Cross Adult and Pediatric First Aid/CPR/AED","American Red Cross Adult and Pediatric First Aid/CPR/AED","changed","retry succeeded via visible Course Name input and native Update Course Type button; verified by readback","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\369209.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=369209"
"344085","AHA - Heartsaver® CPR AED - In-person","AHA Heartsaver CPR AED","","failed","retry saved/reopened but proposed name not found in readback text","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\344085.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=344085"
"209808","AHA - Heartsaver® CPR AED - Online c̄ In-person Skills","AHA Heartsaver CPR AED","AHA Heartsaver CPR AED","changed","retry succeeded via visible Course Name input and native Update Course Type button; verified by readback","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\209808.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209808"
"410694","ARC - Adult and Pediatric First Aid/CPR/AED Skills Session-r.25","American Red Cross Adult and Pediatric First Aid/CPR/AED","American Red Cross Adult and Pediatric First Aid/CPR/AED","changed","retry succeeded via visible Course Name input and native Update Course Type button; verified by readback","E:\GitHub\910cpr-class-landers\debug\course_name_cleanup_screenshots\410694.retry_name_changed_before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410694"
