class_report_course,matched_course_type_name,course_type_id,discipline,price,confidence,reason,edit_url,would_enable_appointments,current_checkbox_state
2025 AHA Instructor Update,2025 AHA Instructor Update,463119,Other,$0.00,high,normalized name match score 1.00; appointment checkbox already checked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463119,no,checked
AED Maintenance Program ... an easy-to-understand and even simpler-to-implement plan to get an AED in your facility...,AED Maintenance Program... an easy-to-understand and even simpler-to-implement plan to get an AED in your facility...,252838,Other,$0.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252838,yes,unchecked
AHA - ACLS - Become an American Heart Association Instructor,AHA - ACLS - Become an American Heart Association Instructor,286954,ACLS,$419.00,low,low-confidence normalized candidate score 1.00; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=286954,no,not inspected
AHA - ACLS Instructor Renewal,AHA - ACLS Instructor Renewal,410206,Other,$0.00,low,low-confidence normalized candidate score 1.00; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410206,no,not inspected
AHA - BLS - Become an American Heart Association Instructor,AHA - BLS - Become an American Heart Association Instructor,253588,BLS,$399.00,low,low-confidence normalized candidate score 1.00; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=253588,no,not inspected
AHA - BLS Instructor Renewal,AHA - BLS Instructor Renewal,410205,Other,$0.00,low,low-confidence normalized candidate score 1.00; skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410205,no,not inspected
AHA - BLS Provider - Renewal Instructor-led Classroom program for BLS Renewal,AHA - BLS Provider - RenewalInstructor-led Classroom program for BLS Renewal,209814,BLS,$0.00,high,normalized name match score 0.99; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209814,yes,unchecked
"AHA - BLS, ACLS & PALS - Become an American Heart Association Instructor","AHA - BLS, ACLS & PALS - Become an American Heart Association Instructor",438234,PALS,$0.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=438234,yes,unchecked
AHA - Family & Friends® CPR,AHA - Family & Friends® CPR,252737,CPR/AED/First Aid,$45.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252737,yes,unchecked
AHA - Heartsaver® - Become an American Heart Association Instructor,AHA - Heartsaver® - Become an American Heart Association Instructor,265876,CPR/AED/First Aid,$425.00,high,normalized name match score 1.00; appointment checkbox unchecked on edit page,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=265876,yes,unchecked
