course_type_id,current_name,clean_text_current_name,detected_agency,edit_url
209811,"AHA ACLS Provider - HeartCode (Online + Skills Session)Complete online coursework, then schedule in-person skills testing",AHA ACLS HeartCode,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209811
241108,AHA ACLS Provider - In-person (Initial)Instructor-led classroom for new or expired ACLS,AHA ACLS Provider (Initial),AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=241108
209818,AHA ACLS Provider - In-person (Renewal)Instructor-led classroom for current ACLS providers,AHA ACLS Provider (Renewal),AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209818
210549,AHA BLS Provider HeartCode SkillsBlended learning with online course + in-person skills session,AHA BLS HeartCode®,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=210549
209806,AHA BLS ProviderInstructor-led classroom (new or expired),AHA BLS Provider (Initial),AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209806
252734,AHA BLS Provider (Spanish),AHA BLS Provider (Spanish),AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252734
359474,AHA BLS Provider RenewalFor currently certified providers,AHA BLS Provider (Renewal),AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=359474
344085,AHA - Heartsaver® CPR AED - In-person,AHA Heartsaver® CPR AED,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=344085
209808,AHA - Heartsaver® CPR AED - Online c̄ In-person Skills,AHA Heartsaver® CPR AED Online,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209808
209809,AHA Heartsaver® First Aid CPR AED - In-PersonTraditional classroom training for workplace and general certification,AHA Heartsaver® First Aid CPR AED,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209809
329495,AHA Heartsaver® First Aid CPR AED - BlendedOnline course + in-person skills session for workplace and general certification,AHA Heartsaver® First Aid CPR AED – Blended,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=329495
351632,AHA - Heartsaver® Pediatric First Aid / CPR / AED In-person✔ Fulfills the CPR/First Aid component of NC DCDEE (10A NCAC 09 .1102); additional NC trainings required for full compliance✔ Fulfills the CPR/First Aid requirement in CT OEC (Sec. 19a-79-4a); center policies/modules may apply,AHA Heartsaver® Pediatric First Aid / CPR / AED,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=351632
485317,AHA Heartsaver® Pediatric First Aid CPR AED -Instructor-led training for childcare and caregivers,AHA Heartsaver® Pediatric First Aid CPR AED,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=485317
251545,AHA Heartsaver® Pediatric First Aid CPR AED - BlendedOnline course + in-person skills session for childcare and caregivers,AHA Heartsaver® Pediatric First Aid CPR AED Online,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=251545
209812,"American Heart Association Pediatric Advanced Life Support (PALS) Provider - HeartCode® (Online + Skills Session)Complete online training, then attend an in-person skills session",AHA PALS HeartCode®,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209812
209805,American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - InitialInstructor-led classroom training for initial or expired PALS certification,AHA PALS Provider,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209805
380688,American Heart Association Pediatric Advanced Life Support (PALS) Plus™ - HeartCode® (Online + Skills Session)Complete HeartCode PALS and 6 advanced modules before in-person skills testing,AHA PALS Provider Plus™ HeartCode®,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=380688
251496,American Heart Association Pediatric Advanced Life Support (PALS) Provider - In-Person - RenewalInstructor-led classroom training for current or recently expired PALS certification,AHA PALS Renewal,AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=251496
369209,"ARC Adult | Pediatric First Aid CPR AED - In-personFull certification for adults, children, and infants",ARC Adult and Pediatric First Aid/CPR/AED,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=369209
410694,ARC - Adult and Pediatric First Aid/CPR/AED Skills Session-r.25,ARC Adult and Pediatric First Aid/CPR/AED Blended Learning,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=410694
248288,ARC - BLS - In-Person ClassroomInstructor-led classroom for initial or renewal certification,ARC BLS,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248288
248287,"ARC - BLS - Blended Learning (Online + Skills)Complete online course, then attend in-person skills session",ARC BLS Blended Learning,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248287
444919,ARC BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers,ARC BLS Challenge,American Red Cross,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=444919
440431,"BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing),AHA,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=440431
374378,HSI Adult First Aid CPR AED - In-PersonInstructor-led classroom training for workplace certification,HSI Adult First Aid | Adult CPR AED,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=374378
422270,HSI Adult First Aid CPR AED - In-personTraditional classroom training for workplace and general certification,HSI Adult First Aid | Adult CPR AED,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=422270
371954,HSI Adult First Aid CPR AED - BlendedOnline course + in-person skills session for workplace certification,HSI Adult First Aid | Adult CPR AED - Blended Learning,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=371954
445670,HSI BLS and Adult First Aid | Blended LearningOnline coursework with in-person skills testing,HSI BLS and Adult First Aid | Blended Learning,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=445670
463743,HSI BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers ready to test out,HSI BLS Challenge,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463743
448630,HSI Basic Life Support (BLS) ProviderIn-person training for healthcare professionals,HSI BLS Provider,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=448630
449422,HSI Pediatric First Aid CPR AED - BlendedOnline course + in-person skills session for childcare and caregivers,HSI Pediatric First Aid | CPR AED - Blended,HSI,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=449422
