"course_type_id","old_name","target_name","before_field_value","after_field_value","detected_agency","status","note","screenshot","edit_url"
"209811","AHA ACLS Provider - HeartCode (Online + Skills Session)Complete online coursework, then schedule in-person skills testing","AHA ACLS HeartCode","AHA HeartCode ACLS","AHA HeartCode ACLS","AHA","failed","readback mismatch: 'AHA HeartCode ACLS'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\209811.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209811"
"241108","AHA ACLS Provider - In-person (Initial)Instructor-led classroom for new or expired ACLS","AHA ACLS Provider (Initial)","AHA ACLS Provider - In-person (Initial) <br><i>Instructor-led classroom for new or expired ACLS</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA ACLS Provider"" name=""241108"" longdesc=""r:241108|t:AHA_ACLS_PROVIDER_INITIAL|cb:AHA|src:EW|p:225|d:IP"">","AHA ACLS Provider - In-person (Initial) <br><i>Instructor-led classroom for new or expired ACLS</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA ACLS Provider"" name=""241108"" longdesc=""r:241108|t:AHA_ACLS_PROVIDER_INITIAL|cb:AHA|src:EW|p:225|d:IP"">","AHA","failed","readback mismatch: 'AHA ACLS Provider - In-person (Initial) <br><i>Instructor-led classroom for new or expired ACLS</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA ACLS Provider"" name=""241108"" longdesc=""r:241108|t:AHA_ACLS_PROVIDER_INITIAL|cb:AHA|src:EW|p:225|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\241108.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=241108"
"209818","AHA ACLS Provider - In-person (Renewal)Instructor-led classroom for current ACLS providers","AHA ACLS Provider (Renewal)","AHA ACLS Provider - In-person (Renewal) <br><i>Instructor-led classroom for current ACLS providers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA ACLS Provider Renewal"" name=""209818"" longdesc=""r:209818|t:AHA_ACLS_PROVIDER_RENEWAL|cb:AHA|src:EW|p:225|d:IP"">","AHA ACLS Provider - In-person (Renewal) <br><i>Instructor-led classroom for current ACLS providers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA ACLS Provider Renewal"" name=""209818"" longdesc=""r:209818|t:AHA_ACLS_PROVIDER_RENEWAL|cb:AHA|src:EW|p:225|d:IP"">","AHA","failed","readback mismatch: 'AHA ACLS Provider - In-person (Renewal) <br><i>Instructor-led classroom for current ACLS providers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA ACLS Provider Renewal"" name=""209818"" longdesc=""r:209818|t:AHA_ACLS_PROVIDER_RENEWAL|cb:AHA|src:EW|p:225|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\209818.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209818"
"210549","AHA BLS Provider HeartCode SkillsBlended learning with online course + in-person skills session","AHA BLS HeartCode®","AHA HeartCode BLS","AHA HeartCode BLS","AHA","failed","readback mismatch: 'AHA HeartCode BLS'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\210549.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=210549"
"209806","AHA BLS ProviderInstructor-led classroom (new or expired)","AHA BLS Provider (Initial)","AHA BLS Provider<br><i>Instructor-led classroom (new or expired)</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""16"" alt=""AHA"" title=""AHA BLS Provider"" name=""209806"" longdesc=""r:209806|t:AHA_BLS_IP_INITIAL|cb:AHA|src:EW|p:75|d:IP"">","AHA BLS Provider<br><i>Instructor-led classroom (new or expired)</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""16"" alt=""AHA"" title=""AHA BLS Provider"" name=""209806"" longdesc=""r:209806|t:AHA_BLS_IP_INITIAL|cb:AHA|src:EW|p:75|d:IP"">","AHA","failed","readback mismatch: 'AHA BLS Provider<br><i>Instructor-led classroom (new or expired)</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""16"" alt=""AHA"" title=""AHA BLS Provider"" name=""209806"" longdesc=""r:209806|t:AHA_BLS_IP_INITIAL|cb:AHA|src:EW|p:75|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\209806.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209806"
"252734","AHA BLS Provider (Spanish)","AHA BLS Provider (Spanish)","AHA BLS Provider (Spanish) <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""25"" alt=""AHA"" title=""AHA BLS Provider Spanish"" name=""252734"" longdesc=""r:252734|t:AHA_BLS_IP_INITIAL_ES|cb:AHA|src:EW|p:85|d:IP"">","AHA BLS Provider (Spanish) <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""25"" alt=""AHA"" title=""AHA BLS Provider Spanish"" name=""252734"" longdesc=""r:252734|t:AHA_BLS_IP_INITIAL_ES|cb:AHA|src:EW|p:85|d:IP"">","AHA","failed","readback mismatch: 'AHA BLS Provider (Spanish) <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""25"" alt=""AHA"" title=""AHA BLS Provider Spanish"" name=""252734"" longdesc=""r:252734|t:AHA_BLS_IP_INITIAL_ES|cb:AHA|src:EW|p:85|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\252734.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252734"
"359474","AHA BLS Provider RenewalFor currently certified providers","AHA BLS Provider (Renewal)","AHA BLS Provider Renewal <br><i>For currently certified providers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""16"" alt=""AHA"" title=""AHA BLS Provider Renewal"" name=""359474"" longdesc=""r:359474|t:AHA_BLS_IP_RENEWAL|cb:AHA|src:EW|p:75|d:IP"">","AHA BLS Provider Renewal <br><i>For currently certified providers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""16"" alt=""AHA"" title=""AHA BLS Provider Renewal"" name=""359474"" longdesc=""r:359474|t:AHA_BLS_IP_RENEWAL|cb:AHA|src:EW|p:75|d:IP"">","AHA","failed","readback mismatch: 'AHA BLS Provider Renewal <br><i>For currently certified providers</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""16"" alt=""AHA"" title=""AHA BLS Provider Renewal"" name=""359474"" longdesc=""r:359474|t:AHA_BLS_IP_RENEWAL|cb:AHA|src:EW|p:75|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\359474.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=359474"
"344085","AHA - Heartsaver® CPR AED - In-person","AHA Heartsaver® CPR AED","AHA - Heartsaver® CPR AED - <b>In-person</b> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" style=""width:25px; float:left; margin-right:5px;"">","AHA - Heartsaver® CPR AED - <b>In-person</b> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" style=""width:25px; float:left; margin-right:5px;"">","AHA","failed","readback mismatch: 'AHA - Heartsaver® CPR AED - <b>In-person</b> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" style=""width:25px; float:left; margin-right:5px;"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\344085.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=344085"
"209808","AHA - Heartsaver® CPR AED - Online c̄ In-person Skills","AHA Heartsaver® CPR AED Online","AHA Heartsaver CPR AED","AHA Heartsaver CPR AED","AHA","failed","readback mismatch: 'AHA Heartsaver CPR AED'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\209808.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209808"
"209809","AHA Heartsaver® First Aid CPR AED - In-PersonTraditional classroom training for workplace and general certification","AHA Heartsaver® First Aid CPR AED","AHA Heartsaver® First Aid CPR AED - In-Person <br><i>Traditional classroom training for workplace and general certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver First Aid CPR AED In-Person"" name=""209809"" longdesc=""r:209809|t:AHA_HS_FA_CPR_IP|cb:AHA|src:EW|p:95|d:IP"">","AHA Heartsaver® First Aid CPR AED - In-Person <br><i>Traditional classroom training for workplace and general certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver First Aid CPR AED In-Person"" name=""209809"" longdesc=""r:209809|t:AHA_HS_FA_CPR_IP|cb:AHA|src:EW|p:95|d:IP"">","AHA","failed","readback mismatch: 'AHA Heartsaver® First Aid CPR AED - In-Person <br><i>Traditional classroom training for workplace and general certification</i> <img src=""https://www.enrollware.com/sitefiles/coastalcprtraining/_AHA.png"" width=""18"" alt=""AHA"" title=""AHA Heartsaver First Aid CPR AED In-Person"" name=""209809"" longdesc=""r:209809|t:AHA_HS_FA_CPR_IP|cb:AHA|src:EW|p:95|d:IP"">'","E:\GitHub\910cpr-class-landers\debug\approved_name_apply_screenshots\209809.before_save.png","https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209809"
