course_type_id,current_name,clean_text_current_name,detected_agency,proposed_official_clean_name,source_reason,confidence,status,edit_url,skip_reason
428958,"Healthcare Provider: BLS Course Basic Life Support (BLS) for healthcare professionals trains participants to promptly recognize several life-threatening emergencies, give high-quality CPR, deliver appropriate ventilations, and provide early use of an AED.","Healthcare Provider: BLS Course Basic Life Support (BLS) for healthcare professionals trains participants to promptly recognize several life-threatening emergencies, give high-quality CPR, deliver appropriate ventilations, and provide early use of an AED.",,,category/header row,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428958,category/header row
305700,BLS Provider (NHCSO),BLS Provider (NHCSO),,,private/internal/admin/group/specialty row,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=305700,private/internal/admin/group/specialty row
209806,AHA BLS ProviderInstructor-led classroom (new or expired),AHA BLS ProviderInstructor-led classroom (new or expired),AHA,AHA BLS Provider,"AHA healthcare/course catalog pages list BLS Provider, ACLS Provider, and PALS course options.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209806,
359474,AHA BLS Provider RenewalFor currently certified providers,AHA BLS Provider RenewalFor currently certified providers,AHA,AHA BLS Provider,"AHA healthcare/course catalog pages list BLS Provider, ACLS Provider, and PALS course options.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=359474,
210549,AHA BLS Provider HeartCode SkillsBlended learning with online course + in-person skills session,AHA BLS Provider HeartCode SkillsBlended learning with online course + in-person skills session,AHA,AHA HeartCode BLS,"AHA HeartCode page: https://cpr.heart.org/en/cpr-courses-and-kits/healthcare-professional/aha-heartcode lists HeartCode BLS, HeartCode ACLS, HeartCode PALS.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=210549,
252734,AHA BLS Provider (Spanish),AHA BLS Provider (Spanish),AHA,AHA BLS Provider,"AHA healthcare/course catalog pages list BLS Provider, ACLS Provider, and PALS course options.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=252734,
248288,ARC - BLS - In-Person ClassroomInstructor-led classroom for initial or renewal certification,ARC - BLS - In-Person ClassroomInstructor-led classroom for initial or renewal certification,American Red Cross,American Red Cross Basic Life Support,Red Cross BLS page: https://www.redcross.org/take-a-class/bls identifies Basic Life Support training.,high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248288,
248287,"ARC - BLS - Blended Learning (Online + Skills)Complete online course, then attend in-person skills session","ARC - BLS - Blended Learning (Online + Skills)Complete online course, then attend in-person skills session",American Red Cross,American Red Cross Basic Life Support,Red Cross BLS page: https://www.redcross.org/take-a-class/bls identifies Basic Life Support training.,high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248287,
444919,ARC BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers,ARC BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers,American Red Cross,American Red Cross Basic Life Support,Red Cross BLS page: https://www.redcross.org/take-a-class/bls identifies Basic Life Support training.,high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=444919,
448630,HSI Basic Life Support (BLS) ProviderIn-person training for healthcare professionals,HSI Basic Life Support (BLS) ProviderIn-person training for healthcare professionals,HSI,HSI Basic Life Support,"HSI program pages list First Aid | CPR AED, Pediatric First Aid | CPR AED, and Basic Life Support (BLS): https://hsi.com/solutions/cpr-aed-first-aid-training/programs",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=448630,
445670,HSI BLS and Adult First Aid | Blended LearningOnline coursework with in-person skills testing,HSI BLS and Adult First Aid | Blended LearningOnline coursework with in-person skills testing,HSI,HSI Basic Life Support,"HSI program pages list First Aid | CPR AED, Pediatric First Aid | CPR AED, and Basic Life Support (BLS): https://hsi.com/solutions/cpr-aed-first-aid-training/programs",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=445670,
463743,HSI BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers ready to test out,HSI BLS Challenge - Renewal for Experienced ProvidersAssessment-only session for experienced providers ready to test out,HSI,HSI Basic Life Support,"HSI program pages list First Aid | CPR AED, Pediatric First Aid | CPR AED, and Basic Life Support (BLS): https://hsi.com/solutions/cpr-aed-first-aid-training/programs",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=463743,
393791,"BLS Provider (On-site; Group; Fully In-person) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!","BLS Provider (On-site; Group; Fully In-person) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",,,private/internal/admin/group/specialty row,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=393791,private/internal/admin/group/specialty row
440431,"BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!","BLS Provider Blended Learning (Online Course; Group; In-person Skills Testing) Need a reliable CPR class for your team? 910 CPR brings expert AHA, HSI, or ARC BLS training directly to your office. Flexible scheduling, simple pricing, and a proven track record of reliability. We show up—on time, every time. Contact us today!",AHA,AHA BLS Provider,"AHA healthcare/course catalog pages list BLS Provider, ACLS Provider, and PALS course options.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=440431,
428959,"Healthcare Provider: ACLS CourseACLS is an advanced course that builds on the foundation of lifesaving BLS skills, emphasizing the importance of continuous, high-quality CPR, and high-performance team dynamics.","Healthcare Provider: ACLS CourseACLS is an advanced course that builds on the foundation of lifesaving BLS skills, emphasizing the importance of continuous, high-quality CPR, and high-performance team dynamics.",,,category/header row,low,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=428959,category/header row
241108,AHA ACLS Provider - In-person (Initial)Instructor-led classroom for new or expired ACLS,AHA ACLS Provider - In-person (Initial)Instructor-led classroom for new or expired ACLS,AHA,AHA ACLS Provider,"AHA healthcare/course catalog pages list BLS Provider, ACLS Provider, and PALS course options.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=241108,
209818,AHA ACLS Provider - In-person (Renewal)Instructor-led classroom for current ACLS providers,AHA ACLS Provider - In-person (Renewal)Instructor-led classroom for current ACLS providers,AHA,AHA ACLS Provider,"AHA healthcare/course catalog pages list BLS Provider, ACLS Provider, and PALS course options.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209818,
209811,"AHA ACLS Provider - HeartCode (Online + Skills Session)Complete online coursework, then schedule in-person skills testing","AHA ACLS Provider - HeartCode (Online + Skills Session)Complete online coursework, then schedule in-person skills testing",AHA,AHA HeartCode ACLS,"AHA HeartCode page: https://cpr.heart.org/en/cpr-courses-and-kits/healthcare-professional/aha-heartcode lists HeartCode BLS, HeartCode ACLS, HeartCode PALS.",high,candidate,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=209811,
285820,American Red Cross Advanced Life Support (ALS) - In-personInstructor-led classroom for new or expired providers,American Red Cross Advanced Life Support (ALS) - In-personInstructor-led classroom for new or expired providers,American Red Cross,American Red Cross Advanced Life Support,Red Cross ALS course family visible in existing title; official source not fully verified for this run.,medium,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=285820,official agency naming pattern matched
248290,"American Red Cross Advanced Life Support (ALS) - Blended LearningComplete online training, then attend in-person skills testing","American Red Cross Advanced Life Support (ALS) - Blended LearningComplete online training, then attend in-person skills testing",American Red Cross,American Red Cross Advanced Life Support,Red Cross ALS course family visible in existing title; official source not fully verified for this run.,medium,skipped,https://www.enrollware.com/admin/course-edit.aspx?ret=course-list.aspx&id=248290,official agency naming pattern matched
