source_file,source_url,element_type,visible_text,title,aria_label,href,normalized_destination,destination_type,inferred_source_context,inferred_destination_context,confidence,status,notes
docs/404.html,https://www.910cpr.com/404.html,a,Go to Full Schedule,,,https://coastalcprtraining.enrollware.com/,https://coastalcprtraining.enrollware.com/,enrollware_booking,Sorry about that. | Go to Full Schedule,Enrollware link without recognized booking params,MEDIUM,OK,Broad Enrollware site link; not a specific booking URL
docs/acls-schedule.html,https://www.910cpr.com/acls-schedule.html,a,/acls.html,,,/acls.html,/acls.html,course_hub,acls-schedule | This schedule moved to /acls.html .,Course hub /acls.html,HIGH,OK,
docs/acls.html,https://www.910cpr.com/acls.html,a,910CPR,,910CPR home,/index.html,/index.html,internal_page,ACLS Certification Classes | 910CPR 910-395-5193,Internal page /index.html,HIGH,OK,
docs/acls.html,https://www.910cpr.com/acls.html,a,910-395-5193,,Call 910CPR at 910-395-5193,tel:+19103955193,tel:+19103955193,phone,ACLS Certification Classes | 910CPR 910-395-5193,Phone call link,HIGH,OK,
docs/acls.html,https://www.910cpr.com/acls.html,a,← Back to Find Your Class,,,/index.html,/index.html,internal_page,"ACLS Certification Classes | ← Back to Find Your Class ACLS Certification Classes Choose Initial, Renewal, or HeartCode, then select a date and time. Course format guide INSTRUCTOR-LED Initial and Renewal ACLS classes are completed in person with an instructor. HEARTCODE HeartCode ACLS...",Internal page /index.html,HIGH,OK,
docs/acls.html,https://www.910cpr.com/acls.html,button,‹,,Previous course options,,,missing_or_empty,BUTTON_CONTROL | ACLS Certification Classes | Course Choose the course or delivery format first. Show all certification options Need ACLS ASAP? Show all AHA ACLS options ‹ › Calendar Start Times Register Times shown are start times. Please allow enough time for the course you selected.,Internal page ,MEDIUM,REVIEW,button control requires browser interaction verification
docs/acls.html,https://www.910cpr.com/acls.html,button,›,,More course options,,,missing_or_empty,BUTTON_CONTROL | ACLS Certification Classes | Course Choose the course or delivery format first. Show all certification options Need ACLS ASAP? Show all AHA ACLS options ‹ › Calendar Start Times Register Times shown are start times. Please allow enough time for the course you selected.,Internal page ,MEDIUM,REVIEW,button control requires browser interaction verification
docs/aha-family-friends-cpr.html,https://www.910cpr.com/aha-family-friends-cpr.html,a,/family-cpr.html,,,/family-cpr.html,/family-cpr.html,internal_page,aha-family-friends-cpr | Family & Friends CPR has moved to /family-cpr.html .,Internal page /family-cpr.html,HIGH,OK,
docs/arc-schedule.html,https://www.910cpr.com/arc-schedule.html,a,/arc.html,,,/arc.html,/arc.html,course_hub,arc-schedule | This schedule moved to /arc.html .,Course hub /arc.html,HIGH,OK,
docs/arc.html,https://www.910cpr.com/arc.html,a,910CPR,,910CPR home,/index.html,/index.html,internal_page,Red Cross CPR & BLS Classes | 910CPR 910-395-5193,Internal page /index.html,HIGH,OK,
docs/arc.html,https://www.910cpr.com/arc.html,a,910-395-5193,,Call 910CPR at 910-395-5193,tel:+19103955193,tel:+19103955193,phone,Red Cross CPR & BLS Classes | 910CPR 910-395-5193,Phone call link,HIGH,OK,
docs/arc.html,https://www.910cpr.com/arc.html,a,← Back to Find Your Class,,,/index.html,/index.html,internal_page,"Red Cross CPR & BLS Classes | ← Back to Find Your Class Red Cross CPR & BLS Classes Choose the Red Cross course your requirement names, then select any time with enough room for the complete class. Proudly recognized American Red Cross Licensed Training Provider 910CPR is an American Re...",Internal page /index.html,HIGH,OK,
docs/arc.html,https://www.910cpr.com/arc.html,button,‹,,Previous course options,,,missing_or_empty,BUTTON_CONTROL | Red Cross CPR & BLS Classes | Course Choose the course or delivery format first. Show all Red Cross course options ‹ › Calendar Start Times Register Times shown are start times. Please allow enough time for the course you selected.,Internal page ,MEDIUM,REVIEW,button control requires browser interaction verification
docs/arc.html,https://www.910cpr.com/arc.html,button,›,,More course options,,,missing_or_empty,BUTTON_CONTROL | Red Cross CPR & BLS Classes | Course Choose the course or delivery format first. Show all Red Cross course options ‹ › Calendar Start Times Register Times shown are start times. Please allow enough time for the course you selected.,Internal page ,MEDIUM,REVIEW,button control requires browser interaction verification
docs/bls-schedule.html,https://www.910cpr.com/bls-schedule.html,a,/bls.html,,,/bls.html,/bls.html,course_hub,bls-schedule | This schedule moved to /bls.html .,Course hub /bls.html,HIGH,OK,
docs/bls.html,https://www.910cpr.com/bls.html,a,910CPR,,910CPR home,/index.html,/index.html,internal_page,BLS Certification Classes | 910CPR 910-395-5193,Internal page /index.html,HIGH,OK,
docs/bls.html,https://www.910cpr.com/bls.html,a,910-395-5193,,Call 910CPR at 910-395-5193,tel:+19103955193,tel:+19103955193,phone,BLS Certification Classes | 910CPR 910-395-5193,Phone call link,HIGH,OK,
docs/bls.html,https://www.910cpr.com/bls.html,a,← Back to Find Your Class,,,/index.html,/index.html,internal_page,"BLS Certification Classes | ← Back to Find Your Class BLS Certification Classes Choose Initial, Renewal, or HeartCode, then select a date and time. Course format guide INSTRUCTOR-LED Instructor-led classes are completed entirely in person. HEARTCODE HeartCode BLS begins online and is...",Internal page /index.html,HIGH,OK,
docs/bls.html,https://www.910cpr.com/bls.html,button,‹,,Previous course options,,,missing_or_empty,BUTTON_CONTROL | BLS Certification Classes | Course Choose the course or delivery format first. Show all certification options Need BLS ASAP? Show all AHA BLS options ‹ › Calendar Start Times Register Times shown are start times. Please allow enough time for the course you selected.,Internal page ,MEDIUM,REVIEW,button control requires browser interaction verification
docs/bls.html,https://www.910cpr.com/bls.html,button,›,,More course options,,,missing_or_empty,BUTTON_CONTROL | BLS Certification Classes | Course Choose the course or delivery format first. Show all certification options Need BLS ASAP? Show all AHA BLS options ‹ › Calendar Start Times Register Times shown are start times. Please allow enough time for the course you selected.,Internal page ,MEDIUM,REVIEW,button control requires browser interaction verification
docs/classes/12774337.html,https://www.910cpr.com/classes/12774337.html,a,910CPR,,910CPR home,/index.html,/index.html,internal_page,Upcoming AHA BLS Provider Course in Wilmington | 910CPR 910-395-5193,Internal page /index.html,HIGH,OK,
docs/classes/12774337.html,https://www.910cpr.com/classes/12774337.html,a,910-395-5193,,Call 910CPR at 910-395-5193,tel:+19103955193,tel:+19103955193,phone,Upcoming AHA BLS Provider Course in Wilmington | 910CPR 910-395-5193,Phone call link,HIGH,OK,
